nu,l,n
574.8747606538392,0,11
587.8067952654017,1,11
620.4932764489574,1,11
621.1551522361634,2,11
624.9125701666096,0,12
654.6969805908776,1,12
669.5229982242911,2,12
674.6347158424048,0,13
694.1549602127712,1,13
719.2349611956678,2,13
723.1667566681061,0,14
723.4922920854592,1,14
755.1289942710678,1,14
766.5641713331031,2,14
772.9487270035359,0,15
799.7903358508421,1,15
818.9236374533035,2,15
823.220738717933,0,16
837.578351948093,3,15
847.4352098252524,1,16
869.1345529411894,2,16
873.7575007472126,0,17
887.7078058006304,3,16
894.0210825401333,1,17
920.1091712604666,2,17
924.2128011411436,0,18
925.8420338481121,1,18
938.7842511640932,3,17
954.058307791923,1,18
970.1877115909112,2,18
974.7902939880973,0,19
989.4635710552325,3,18
1000.4303437140142,1,19
1020.2153383992631,2,19
1025.16413274668,0,20
1049.755363917486,1,20
1072.5340737017893,2,20
1075.6296158450295,0,21
1100.2208470158355,1,21
1124.4705424101326,2,21
1129.1602870163756,0,22
1150.6150511832554,1,22
1176.8919175857732,0,23
