nu,l,n
490.3005995436619,1,12
529.9895270974047,1,13
551.4583900188807,2,13
554.472738947013,0,13
572.1569193253895,1,13
593.3076009711182,2,13
596.9415660678111,0,14
614.9774204878031,1,14
635.5587251137734,2,14
638.6568059565761,0,15
639.9965165913017,1,15
656.0730442080076,1,15
673.9749275645269,2,15
680.5060169088136,0,16
697.9055087773111,1,16
719.7762848892047,2,16
721.7188653095567,0,17
738.9006541999111,1,17
760.6207128653981,2,17
762.9317137102995,1,17
764.3886490255635,0,18
781.8886191916653,1,18
804.4292506209216,2,18
807.0249399757024,0,19
825.3957220543756,1,19
847.3669764638737,2,19
850.0296513503906,0,20
869.0033032146904,1,20
890.4051806044301,2,20
892.0965652807711,0,21
911.7903116112358,1,21
933.2256817668436,2,21
937.3955311174268,0,22
